id,Name,Adress,MOAT SITUATION,OMD,File link,Water  Area (SQM),Map Of Index,x,y
258,,Tombroekstraat- Rollegem 8510,Disappeared,X,,6517,Popp Remastered,3.263205404,50.76191749
259,Hof van Rollegem,Rollegemplaats- Rollegem 8510,Incomplete,CLOSED,/259 - Hof van Rollegem,7956,Popp Remastered,3.263910313,50.76910066
260,Dadecotboghaert,Hoevedreef- Rollegem 8510,Incomplete,X,/260 - Dadecotboghaert,5293,Popp Remastered,3.269902041,50.75977471
261,Goed te Tremaars,Einde Munkendoornstraat- Rollegem 8510,Incomplete,X,/261 - Goed te Tremaars,5096,Popp Remastered,3.272858744,50.75396517
262,s Costers,Tombroekstraat- Rollegem 8510,Complete,X,/262 - s Costers,4213,Popp Remastered,3.26577049,50.75754512
263,,29- Schreiboomstraat- Rollegem 8510,Complete,X,,7567,Popp Remastered,3.251476497,50.76508813
264,Steenbakkershoeve,Oude Aalbeeksestraat- Rollegem 8510,Disappeared,X,,6188,Popp Remastered,3.256743736,50.76782511
265,,Aalbeeksestraat- Rollegem 8510,Incomplete,X,,3609,Popp Remastered,3.253493321,50.77279089
266,Goed te Bottelrie,Oude Bellegemsestraat- Rollegem 8510,Incomplete,X,/266 - Goed te Bottelrie,2455,Popp Remastered,3.267434859,50.77419013
267,,Rollegemseweg- Rollegem 8510,Incomplete,X,,5436,Popp Remastered,3.263381631,50.78112381
268,t Goed de Queeke,Manpad 8500,Disappeared,X,/268 - t Goed de Queeke,3450,Popp Remastered,3.284391842,50.79181946
269,Sterreberg,Blauwkasteelstraat- Aalbeke 8511,Disappeared,X,/269 - Sterreberg,3762,Popp Remastered,3.217112173,50.77137923
270,Jezuietengoed,Lauwsestraat- Aalbeke 8511,Incomplete,CLOSED,/270 - Jezu?etengoed,5059,Popp Remastered,3.22619767,50.77945239
271,Heerlijkheid van Heule - Aalbeke,Lauwsestraat- Aalbeke 8511,Disappeared,X,/271 - Heerlijkheid van Heule - Aalbeke,7371,Popp Remastered,3.220362588,50.78177998
272,,Doomanstraat- Aalbeke 8511,Disappeared,X,,4184,Popp Remastered,3.218756961,50.77831332
273,,Klarenhoek- Aalbeke 8511,Disappeared,X,,6344,Popp Remastered,3.228351559,50.79144813
274,Goed te Nieuzenhove,E403- Aalbeke 8511,Complete,CLOSED,/274 - Goed te Nieuzenhove,8565,Popp Remastered,3.222398992,50.793181
276,Braye,2- Bosweg- Paradijs- Rekkem- Menen 8930,Complete,CLOSED,,5659,Popp Remastered,3.18977736,50.76870437
277,,1- Bosweg- Paradijs- Rekkem- Menen 8930,Complete,X,,3312,Popp Remastered,3.185019223,50.76752789
278,,Brun Cornet- Rekkem- Menen 8930,Complete,X,,3500,Popp Remastered,3.184157667,50.77187455
279,Bas Fosses,Castertstraat- Rekkem- Menen 8930,Incomplete,CLOSED,,4300,Popp Remastered,3.194437593,50.76062935
282,Tanja,280- Moeskroenstraat- Rekkem- Menen 8930,Incomplete,CLOSED,,4025,Popp Remastered,3.16395027,50.77187455
283,Ter Triest ,Moeskroenstraat - Menen,Incomplete,OPEN,,4332,Popp Remastered,3.163029972,50.78160665
284,,Murissonstraat- Rekkem- Menen 8930,Disappeared,X,,3692,Popp Remastered,3.155236809,50.78043049
285,Steenland,Steenland- Rekkemstraat- Rekkem- Menen 8930,Disappeared,CLOSED,,7647,Popp Remastered,3.168630084,50.78684332
286,Pilfour,Pont Neufstraat- Menen 8930,Incomplete,CLOSED,,1570,Popp Remastered,3.152632561,50.79262401
287,Basse Cense,1- Roterijstraat- Menen 8930,Incomplete,CLOSED,,2087,Popp Remastered,3.147345742,50.79095301
288,,400- Wervikstraat- Wervik- Menen 8940,Incomplete,X,,4047,Popp Remastered,3.099216107,50.78294373
289,,380- Wervikstraat- Wervik- Menen 8940,Incomplete,X,,2935,Popp Remastered,3.101017541,50.78363701
290,,Lageweg- Menen 8930,Incomplete,X,,4618,Popp Remastered,3.08917115,50.78955427
291,,Hoogpoortweg- Menen 8930,Incomplete,X,,5330,Popp Remastered,3.082278705,50.79880003
292,,Pekkestraat- Geluwe- Menen 8940,Incomplete,X,,6242,Popp Remastered,3.107962068,50.81914725
293,,156- Buurtweg- Menen 8930,Disappeared,X,,2745,Popp Remastered,3.115623594,50.80999556
294,,Menen Barri�re- Bruggestraat- Menen 8930,Incomplete,X,,4343,Popp Remastered,3.117618311,50.82082272
295,,Zandweg- Menen 8930,Disappeared,X,,4791,Popp Remastered,3.119658362,50.82143847
296,,Schendekouterstraat- Geluwe- Menen 8940,Incomplete,X,,5517,Popp Remastered,3.107758063,50.82328569
298,,63- Dadizelestraat- Moorsele- Wevelgem,Incomplete,X,,12223,Popp Remastered,3.136069442,50.84262694
299,,62- Dadizelestraat- Moorsele- Wevelgem,Complete,X,,4555,Popp Remastered,3.139220188,50.84384356
300,,44- Ter Kommerenweg- Moorsele- Wevelgem,Incomplete,X,,2858,Popp Remastered,3.126549202,50.84039402
301,,64- Secretaris Vanmarckelaan- Moorsele- Wevelgem,Incomplete,X,,15475,Popp Remastered,3.173029921,50.84193551
302,,Moorsele- Wevelgem,Incomplete,X,,5095,Popp Remastered,3.162153721,50.82801689
303,,15- Ketelstraat- Moorsele- Wevelgem,Incomplete,X,,9784,Popp Remastered,3.135988827,50.82774571
304,,16- Ketelstraat- Moorsele- Wevelgem,Incomplete,X,,5772,Popp Remastered,3.140162808,50.82453659
305,,27-29- Drieslaan- Moorsele- Wevelgem,Disappeared,X,,11459,Popp Remastered,3.181377881,50.84842644
306,,236A- Warandestraat- Moorsele- Wevelgem,Disappeared,X,,4461,Popp Remastered,3.168021144,50.82955357
307,,73- Zuidhoekstraat- Moorsele- Wevelgem,Disappeared,X,,5319,Popp Remastered,3.175629714,50.83015617
308,,1- Marremstraat- Wevelgem,Incomplete,X,,6146,Popp Remastered,3.175701268,50.82613364
309,,31- Ezelstraat- Wevelgem,Incomplete,X,,2748,Popp Remastered,3.161700546,50.82191489
310,,222- Wijnbergstraat- Wevelgem,Incomplete,X,,7338,Popp Remastered,3.157216498,50.81838892
311,,Rynsackerstraat- Wevelgem- Menen,Incomplete,X,,8182,Popp Remastered,3.149154754,50.81534492
312,Het Eiland,Groenestraat- Menen 8930,Complete,X,/312 - Het Eiland,3383,Popp Remastered,3.145624759,50.80799029
313,,Groenestraat- Menen 8930,Incomplete,X,,7412,Popp Remastered,3.143501992,50.80758334
314,,Waterzuiveringsstation Aquafin Menen- Kortrijkstraat- Menen 8930,Incomplete,X,,5908,Popp Remastered,3.142428683,50.79742352
